C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
2.6,53.3445
2.65,53.1683
2.7,52.9949
2.75,52.8243
2.8,52.6564
2.85,52.491
2.9,52.328
2.95,52.1674
3,52.0091
3.05,51.853
3.1,51.699
3.15,51.547
3.2,51.3969
3.25,51.2488
3.3,51.1025
3.35,50.9579
3.4,50.8151
3.45,50.6739
3.5,50.5342
3.55,50.3961
3.6,50.2595
3.65,50.1244
3.7,49.9906
3.75,49.8582
3.8,49.727
3.85,49.5971
3.9,49.4685
3.95,49.341
4,49.2147
4.05,49.0894
4.1,48.9653
4.15,48.8421
4.2,48.72
4.25,48.5989
4.3,48.4787
4.35,48.3594
4.4,48.241
4.45,48.1234
4.5,48.0067
4.55,47.8908
4.6,47.7757
4.65,47.6613
4.7,47.5476
4.75,47.4347
4.8,47.3224
4.85,47.2109
4.9,47.0999
4.95,46.9896
5,46.8799
5.05,46.7707
5.1,46.6621
5.15,46.5541
5.2,46.4466
5.25,46.3396
5.3,46.233
5.35,46.127
5.4,46.0214
5.45,45.9162
5.5,45.8115
5.55,45.7072
5.6,45.6032
5.65,45.4997
5.7,45.3965
5.75,45.2936
5.8,45.1911
5.85,45.0889
5.9,44.987
5.95,44.8854
6,44.784
6.05,44.683
6.1,44.5821
6.15,44.4815
6.2,44.3812
6.25,44.281
6.3,44.1811
6.35,44.0813
6.4,43.9817
6.45,43.8822
6.5,43.7829
6.55,43.6838
6.6,43.5848
6.65,43.4859
6.7,43.387
6.75,43.2883
6.8,43.1897
6.85,43.0911
6.9,42.9926
6.95,42.8941
7,42.7957
7.05,42.6973
7.1,42.5989
7.15,42.5005
7.2,42.4021
7.25,42.3037
7.3,42.2052
7.35,42.1067
7.4,42.0081
7.45,41.9095
7.5,41.8108
7.55,41.712
7.6,41.6131
7.65,41.5141
7.7,41.415
7.75,41.3158
7.8,41.2164
7.85,41.1168
7.9,41.0171
7.95,40.9172
8,40.8171
8.05,40.7168
8.1,40.6163
8.15,40.5156
8.2,40.4146
8.25,40.3134
8.3,40.2119
8.35,40.1102
8.4,40.0082
8.45,39.9058
8.5,39.8032
8.55,39.7002
8.6,39.5969
8.65,39.4932
8.7,39.3892
8.75,39.2848
8.8,39.1799
8.85,39.0747
8.9,38.9691
8.95,38.863
9,38.7565
9.05,38.6495
9.1,38.542
9.15,38.434
9.2,38.3255
9.25,38.2165
9.3,38.1069
9.35,37.9968
9.4,37.886
9.45,37.7747
9.5,37.6627
9.55,37.5501
9.6,37.4369
9.65,37.3229
9.7,37.2083
9.75,37.0929
9.8,36.9768
9.85,36.86
9.9,36.7423
9.95,36.6238
10,36.5045
10.05,36.3844
10.1,36.2633
10.15,36.1414
10.2,36.0184
10.25,35.8946
10.3,35.7697
10.35,35.6438
10.4,35.5169
10.45,35.3888
10.5,35.2597
10.55,35.1294
10.6,34.9979
10.65,34.8652
10.7,34.7312
10.75,34.5959
10.8,34.4592
10.85,34.3212
10.9,34.1818
10.95,34.0408
11,33.8984
11.05,33.7544
11.1,33.6087
11.15,33.4614
11.2,33.3124
11.25,33.1616
11.3,33.0089
11.35,32.8543
11.4,32.6977
11.45,32.5391
11.5,32.3783
11.55,32.2154
11.6,32.0502
11.65,31.8826
11.7,31.7125
11.75,31.5399
11.8,31.3647
11.85,31.1868
11.9,31.0059
11.95,30.8221
12,30.6353
12.05,30.4451
12.1,30.2517
12.15,30.0547
12.2,29.8541
12.25,29.6497
12.3,29.4412
12.35,29.2286
12.4,29.0116
12.45,28.79
12.5,28.5636
12.55,28.3321
12.6,28.0953
12.65,27.8529
12.7,27.6045
12.75,27.3499
12.8,27.0887
12.85,26.8204
12.9,26.5447
12.95,26.2611
13,25.9691
13.05,25.6681
13.1,25.3576
13.15,25.0367
13.2,24.7048
13.25,24.361
13.3,24.0044
13.35,23.6339
13.4,23.2483
13.45,22.8462
13.5,22.4262
13.55,21.9865
13.6,21.5249
13.65,21.0391
13.7,20.5264
13.75,19.9835
13.8,19.4063
13.85,18.7903
13.9,18.1295
13.95,17.4167
14,16.6429
14.05,15.7964
14.1,14.8618
14.15,13.8183
14.2,12.6368
14.25,11.2746
14.3,9.66632
14.35,7.70317
14.4,5.18646
14.45,1.69792
14.5,-3.78579
14.55,-9.43281
14.6,-2.52495
14.65,2.42404
14.7,5.64993
14.75,8.01338
14.8,9.87235
14.85,11.4022
14.9,12.701
14.95,13.8287
15,14.8247
15.05,15.7164
15.1,16.5232
15.15,17.2598
15.2,17.9373
15.25,18.5644
15.3,19.1478
15.35,19.6934
15.4,20.2055
15.45,20.6881
15.5,21.1442
15.55,21.5766
15.6,21.9876
15.65,22.3792
15.7,22.7531
15.75,23.1109
15.8,23.4537
15.85,23.7828
15.9,24.0993
15.95,24.4041
16,24.6979
16.05,24.9815
16.1,25.2557
16.15,25.5209
16.2,25.7778
16.25,26.0268
16.3,26.2685
16.35,26.5032
16.4,26.7313
16.45,26.9531
16.5,27.1691
16.55,27.3794
16.6,27.5845
16.65,27.7844
16.7,27.9796
16.75,28.1701
16.8,28.3563
16.85,28.5383
16.9,28.7162
16.95,28.8903
17,29.0608
17.05,29.2277
17.1,29.3912
17.15,29.5515
17.2,29.7086
17.25,29.8628
17.3,30.014
17.35,30.1625
17.4,30.3083
17.45,30.4515
17.5,30.5922
17.55,30.7304
17.6,30.8664
17.65,31.0001
17.7,31.1316
17.75,31.261
17.8,31.3883
17.85,31.5137
17.9,31.6372
17.95,31.7589
18,31.8787
18.05,31.9968
18.1,32.1132
18.15,32.228
18.2,32.3411
18.25,32.4528
18.3,32.5629
18.35,32.6716
18.4,32.7789
18.45,32.8848
18.5,32.9893
18.55,33.0926
18.6,33.1946
18.65,33.2954
18.7,33.395
18.75,33.4934
18.8,33.5907
18.85,33.6869
18.9,33.782
18.95,33.8761
19,33.9693
19.05,34.0614
19.1,34.1525
19.15,34.2427
19.2,34.3321
19.25,34.4205
19.3,34.5081
19.35,34.5948
19.4,34.6808
19.45,34.7659
19.5,34.8503
19.55,34.9339
19.6,35.0169
19.65,35.0991
19.7,35.1807
19.75,35.2616
19.8,35.3419
19.85,35.4216
19.9,35.5007
19.95,35.5792
20,35.6572
C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=3.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
2,55.7137
2.05,55.4899
2.1,55.271
2.15,55.0568
2.2,54.847
2.25,54.6415
2.3,54.44
2.35,54.2424
2.4,54.0485
2.45,53.8581
2.5,53.671
2.55,53.4872
2.6,53.3065
2.65,53.1288
2.7,52.9539
2.75,52.7817
2.8,52.6121
2.85,52.445
2.9,52.2804
2.95,52.1181
3,51.958
3.05,51.8001
3.1,51.6442
3.15,51.4903
3.2,51.3384
3.25,51.1883
3.3,51.04
3.35,50.8934
3.4,50.7485
3.45,50.6052
3.5,50.4634
3.55,50.3232
3.6,50.1843
3.65,50.0469
3.7,49.9108
3.75,49.7761
3.8,49.6426
3.85,49.5103
3.9,49.3791
3.95,49.2492
4,49.1203
4.05,48.9925
4.1,48.8657
4.15,48.7399
4.2,48.615
4.25,48.4911
4.3,48.3681
4.35,48.246
4.4,48.1246
4.45,48.0041
4.5,47.8844
4.55,47.7655
4.6,47.6472
4.65,47.5297
4.7,47.4129
4.75,47.2967
4.8,47.1811
4.85,47.0662
4.9,46.9518
4.95,46.838
5,46.7248
5.05,46.6121
5.1,46.4998
5.15,46.3881
5.2,46.2768
5.25,46.166
5.3,46.0556
5.35,45.9457
5.4,45.8361
5.45,45.7269
5.5,45.618
5.55,45.5095
5.6,45.4013
5.65,45.2934
5.7,45.1859
5.75,45.0785
5.8,44.9715
5.85,44.8647
5.9,44.7581
5.95,44.6518
6,44.5456
6.05,44.4396
6.1,44.3338
6.15,44.2282
6.2,44.1227
6.25,44.0173
6.3,43.9121
6.35,43.8069
6.4,43.7019
6.45,43.5969
6.5,43.4919
6.55,43.3871
6.6,43.2822
6.65,43.1774
6.7,43.0725
6.75,42.9677
6.8,42.8629
6.85,42.758
6.9,42.653
6.95,42.548
7,42.443
7.05,42.3378
7.1,42.2326
7.15,42.1272
7.2,42.0217
7.25,41.916
7.3,41.8102
7.35,41.7043
7.4,41.5981
7.45,41.4918
7.5,41.3852
7.55,41.2785
7.6,41.1714
7.65,41.0642
7.7,40.9566
7.75,40.8488
7.8,40.7407
7.85,40.6323
7.9,40.5235
7.95,40.4144
8,40.305
8.05,40.1952
8.1,40.0849
8.15,39.9743
8.2,39.8633
8.25,39.7518
8.3,39.6399
8.35,39.5274
8.4,39.4145
8.45,39.3011
8.5,39.1872
8.55,39.0727
8.6,38.9576
8.65,38.842
8.7,38.7257
8.75,38.6089
8.8,38.4914
8.85,38.3732
8.9,38.2543
8.95,38.1347
9,38.0144
9.05,37.8933
9.1,37.7714
9.15,37.6487
9.2,37.5252
9.25,37.4008
9.3,37.2755
9.35,37.1493
9.4,37.0222
9.45,36.8941
9.5,36.765
9.55,36.6348
9.6,36.5036
9.65,36.3712
9.7,36.2378
9.75,36.1031
9.8,35.9672
9.85,35.8301
9.9,35.6917
9.95,35.552
10,35.4108
10.05,35.2683
10.1,35.1243
10.15,34.9787
10.2,34.8316
10.25,34.6829
10.3,34.5325
10.35,34.3803
10.4,34.2264
10.45,34.0706
10.5,33.9128
10.55,33.7531
10.6,33.5914
10.65,33.4275
10.7,33.2613
10.75,33.0929
10.8,32.9221
10.85,32.7488
10.9,32.573
10.95,32.3944
11,32.2131
11.05,32.0289
11.1,31.8417
11.15,31.6514
11.2,31.4578
11.25,31.2608
11.3,31.0602
11.35,30.8559
11.4,30.6477
11.45,30.4354
11.5,30.2189
11.55,29.9979
11.6,29.7723
11.65,29.5416
11.7,29.3059
11.75,29.0646
11.8,28.8176
11.85,28.5645
11.9,28.305
11.95,28.0387
12,27.7652
12.05,27.4841
12.1,27.1948
12.15,26.8968
12.2,26.5896
12.25,26.2724
12.3,25.9446
12.35,25.6053
12.4,25.2538
12.45,24.8888
12.5,24.5095
12.55,24.1143
12.6,23.702
12.65,23.2709
12.7,22.8191
12.75,22.3442
12.8,21.8439
12.85,21.315
12.9,20.754
12.95,20.1565
13,19.5173
13.05,18.8299
13.1,18.0863
13.15,17.2761
13.2,16.3859
13.25,15.3978
13.3,14.2873
13.35,13.0192
13.4,11.5406
13.45,9.76752
13.5,7.55332
13.55,4.61024
13.6,0.26638
13.65,-6.96987
13.7,-5.30474
13.75,1.25832
13.8,5.20629
13.85,7.94239
13.9,10.0254
13.95,11.7041
14,13.1085
14.05,14.3149
14.1,15.3717
14.15,16.3117
14.2,17.1577
14.25,17.9268
14.3,18.6315
14.35,19.2818
14.4,19.8852
14.45,20.448
14.5,20.9752
14.55,21.4711
14.6,21.939
14.65,22.3819
14.7,22.8023
14.75,23.2024
14.8,23.5839
14.85,23.9486
14.9,24.2977
14.95,24.6325
15,24.9542
15.05,25.2637
15.1,25.5619
15.15,25.8496
15.2,26.1274
15.25,26.3961
15.3,26.6561
15.35,26.908
15.4,27.1524
15.45,27.3895
15.5,27.6199
15.55,27.8439
15.6,28.0618
15.65,28.2739
15.7,28.4806
15.75,28.6822
15.8,28.8787
15.85,29.0706
15.9,29.258
15.95,29.4411
16,29.6201
16.05,29.7951
16.1,29.9664
16.15,30.1342
16.2,30.2984
16.25,30.4594
16.3,30.6171
16.35,30.7718
16.4,30.9236
16.45,31.0725
16.5,31.2186
16.55,31.3622
16.6,31.5032
16.65,31.6417
16.7,31.7779
16.75,31.9118
16.8,32.0435
16.85,32.173
16.9,32.3004
16.95,32.4259
17,32.5494
17.05,32.671
17.1,32.7908
17.15,32.9089
17.2,33.0252
17.25,33.1399
17.3,33.2529
17.35,33.3643
17.4,33.4743
17.45,33.5827
17.5,33.6897
17.55,33.7954
17.6,33.8996
17.65,34.0025
17.7,34.1041
17.75,34.2045
17.8,34.3036
17.85,34.4016
17.9,34.4984
17.95,34.594
18,34.6886
18.05,34.7821
18.1,34.8745
18.15,34.9659
18.2,35.0563
18.25,35.1457
18.3,35.2342
18.35,35.3218
18.4,35.4085
18.45,35.4942
18.5,35.5792
18.55,35.6632
18.6,35.7465
18.65,35.829
18.7,35.9106
18.75,35.9915
18.8,36.0717
18.85,36.1511
18.9,36.2298
18.95,36.3079
19,36.3852
19.05,36.4619
19.1,36.5379
19.15,36.6133
19.2,36.6881
19.25,36.7622
19.3,36.8358
19.35,36.9088
19.4,36.9813
19.45,37.0532
19.5,37.1246
19.55,37.1954
19.6,37.2658
19.65,37.3356
19.7,37.405
19.75,37.474
19.8,37.5425
19.85,37.6105
19.9,37.6782
19.95,37.7454
20,37.8123
C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=4.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
2,55.6915
2.05,55.4665
2.1,55.2465
2.15,55.031
2.2,54.82
2.25,54.6132
2.3,54.4104
2.35,54.2115
2.4,54.0162
2.45,53.8244
2.5,53.6359
2.55,53.4506
2.6,53.2684
2.65,53.0891
2.7,52.9126
2.75,52.7388
2.8,52.5676
2.85,52.3989
2.9,52.2325
2.95,52.0685
3,51.9066
3.05,51.7468
3.1,51.5891
3.15,51.4333
3.2,51.2795
3.25,51.1274
3.3,50.9771
3.35,50.8285
3.4,50.6815
3.45,50.536
3.5,50.3921
3.55,50.2496
3.6,50.1085
3.65,49.9688
3.7,49.8304
3.75,49.6933
3.8,49.5573
3.85,49.4226
3.9,49.2889
3.95,49.1564
4,49.0249
4.05,48.8945
4.1,48.765
4.15,48.6364
4.2,48.5088
4.25,48.3821
4.3,48.2562
4.35,48.1311
4.4,48.0068
4.45,47.8833
4.5,47.7605
4.55,47.6384
4.6,47.5169
4.65,47.3962
4.7,47.276
4.75,47.1565
4.8,47.0375
4.85,46.9191
4.9,46.8012
4.95,46.6838
5,46.5669
5.05,46.4505
5.1,46.3345
