C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT_longsim.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT_longsim
5.278,-1.21821
5.28,-1.21872
5.282,-1.21922
5.284,-1.21972
5.286,-1.22022
5.288,-1.22072
5.29,-1.22122
5.292,-1.22172
5.294,-1.22222
5.296,-1.22272
5.298,-1.22322
5.3,-1.22372
5.302,-1.22422
5.304,-1.22472
5.306,-1.22521
5.308,-1.22571
5.31,-1.22621
5.312,-1.22671
5.314,-1.22721
5.316,-1.2277
5.318,-1.2282
5.32,-1.2287
5.322,-1.22919
5.324,-1.22969
5.326,-1.23018
5.328,-1.23068
5.33,-1.23117
5.332,-1.23167
5.334,-1.23216
5.336,-1.23266
5.338,-1.23315
5.34,-1.23365
5.342,-1.23414
5.344,-1.23463
5.346,-1.23513
5.348,-1.23562
5.35,-1.23611
5.352,-1.23661
5.354,-1.2371
5.356,-1.23759
5.358,-1.23808
5.36,-1.23857
5.362,-1.23906
5.364,-1.23956
5.366,-1.24005
5.368,-1.24054
5.37,-1.24103
5.372,-1.24152
5.374,-1.24201
5.376,-1.2425
5.378,-1.24298
5.38,-1.24347
5.382,-1.24396
5.384,-1.24445
5.386,-1.24494
5.388,-1.24543
5.39,-1.24591
5.392,-1.2464
5.394,-1.24689
5.396,-1.24737
5.398,-1.24786
5.4,-1.24835
5.402,-1.24883
5.404,-1.24932
5.406,-1.2498
5.408,-1.25029
5.41,-1.25077
5.412,-1.25126
5.414,-1.25174
5.416,-1.25223
5.418,-1.25271
5.42,-1.25319
5.422,-1.25368
5.424,-1.25416
5.426,-1.25464
5.428,-1.25513
5.43,-1.25561
5.432,-1.25609
5.434,-1.25657
5.436,-1.25705
5.438,-1.25753
5.44,-1.25802
5.442,-1.2585
5.444,-1.25898
5.446,-1.25946
5.448,-1.25994
5.45,-1.26042
5.452,-1.26089
5.454,-1.26137
5.456,-1.26185
5.458,-1.26233
5.46,-1.26281
5.462,-1.26329
5.464,-1.26376
5.466,-1.26424
5.468,-1.26472
5.47,-1.2652
5.472,-1.26567
5.474,-1.26615
5.476,-1.26662
5.478,-1.2671
5.48,-1.26758
5.482,-1.26805
5.484,-1.26853
5.486,-1.269
5.488,-1.26948
5.49,-1.26995
5.492,-1.27042
5.494,-1.2709
5.496,-1.27137
5.498,-1.27184
5.5,-1.27232
5.502,-1.27279
5.504,-1.27326
5.506,-1.27373
5.508,-1.2742
5.51,-1.27468
5.512,-1.27515
5.514,-1.27562
5.516,-1.27609
5.518,-1.27656
5.52,-1.27703
5.522,-1.2775
5.524,-1.27797
5.526,-1.27844
5.528,-1.27891
5.53,-1.27937
5.532,-1.27984
5.534,-1.28031
5.536,-1.28078
5.538,-1.28125
5.54,-1.28171
5.542,-1.28218
5.544,-1.28265
5.546,-1.28311
5.548,-1.28358
5.55,-1.28405
5.552,-1.28451
5.554,-1.28498
5.556,-1.28544
5.558,-1.28591
5.56,-1.28637
5.562,-1.28683
5.564,-1.2873
5.566,-1.28776
5.568,-1.28823
5.57,-1.28869
5.572,-1.28915
5.574,-1.28961
5.576,-1.29008
5.578,-1.29054
5.58,-1.291
5.582,-1.29146
5.584,-1.29192
5.586,-1.29238
5.588,-1.29284
5.59,-1.2933
5.592,-1.29376
5.594,-1.29422
5.596,-1.29468
5.598,-1.29514
5.6,-1.2956
5.602,-1.29606
5.604,-1.29652
5.606,-1.29698
5.608,-1.29743
5.61,-1.29789
5.612,-1.29835
5.614,-1.2988
5.616,-1.29926
5.618,-1.29972
5.62,-1.30017
5.622,-1.30063
5.624,-1.30108
5.626,-1.30154
5.628,-1.30199
5.63,-1.30245
5.632,-1.3029
5.634,-1.30336
5.636,-1.30381
5.638,-1.30426
5.64,-1.30472
5.642,-1.30517
5.644,-1.30562
5.646,-1.30608
5.648,-1.30653
5.65,-1.30698
5.652,-1.30743
5.654,-1.30788
5.656,-1.30833
5.658,-1.30878
5.66,-1.30923
5.662,-1.30968
5.664,-1.31013
5.666,-1.31058
5.668,-1.31103
5.67,-1.31148
5.672,-1.31193
5.674,-1.31238
5.676,-1.31282
5.678,-1.31327
5.68,-1.31372
5.682,-1.31417
5.684,-1.31461
5.686,-1.31506
5.688,-1.31551
5.69,-1.31595
5.692,-1.3164
5.694,-1.31684
5.696,-1.31729
5.698,-1.31773
5.7,-1.31818
5.702,-1.31862
5.704,-1.31907
5.706,-1.31951
5.708,-1.31995
5.71,-1.32039
5.712,-1.32084
5.714,-1.32128
5.716,-1.32172
5.718,-1.32216
5.72,-1.32261
5.722,-1.32305
5.724,-1.32349
5.726,-1.32393
5.728,-1.32437
5.73,-1.32481
5.732,-1.32525
5.734,-1.32569
5.736,-1.32613
5.738,-1.32657
5.74,-1.327
5.742,-1.32744
5.744,-1.32788
5.746,-1.32832
5.748,-1.32876
5.75,-1.32919
5.752,-1.32963
5.754,-1.33007
5.756,-1.3305
5.758,-1.33094
5.76,-1.33137
5.762,-1.33181
5.764,-1.33224
5.766,-1.33268
5.768,-1.33311
5.77,-1.33355
5.772,-1.33398
5.774,-1.33441
5.776,-1.33485
5.778,-1.33528
5.78,-1.33571
5.782,-1.33615
5.784,-1.33658
5.786,-1.33701
5.788,-1.33744
5.79,-1.33787
5.792,-1.3383
5.794,-1.33873
5.796,-1.33916
5.798,-1.33959
5.8,-1.34002
5.802,-1.34045
5.804,-1.34088
5.806,-1.34131
5.808,-1.34174
5.81,-1.34217
5.812,-1.34259
5.814,-1.34302
5.816,-1.34345
5.818,-1.34388
5.82,-1.3443
5.822,-1.34473
5.824,-1.34515
5.826,-1.34558
5.828,-1.34601
5.83,-1.34643
5.832,-1.34686
5.834,-1.34728
5.836,-1.3477
5.838,-1.34813
5.84,-1.34855
5.842,-1.34898
5.844,-1.3494
5.846,-1.34982
5.848,-1.35024
5.85,-1.35067
5.852,-1.35109
5.854,-1.35151
5.856,-1.35193
5.858,-1.35235
5.86,-1.35277
5.862,-1.35319
5.864,-1.35361
5.866,-1.35403
5.868,-1.35445
5.87,-1.35487
5.872,-1.35529
5.874,-1.35571
5.876,-1.35612
5.878,-1.35654
5.88,-1.35696
5.882,-1.35738
5.884,-1.35779
5.886,-1.35821
5.888,-1.35863
5.89,-1.35904
5.892,-1.35946
5.894,-1.35987
5.896,-1.36029
5.898,-1.3607
5.9,-1.36112
5.902,-1.36153
5.904,-1.36194
5.906,-1.36236
5.908,-1.36277
5.91,-1.36318
5.912,-1.3636
5.914,-1.36401
5.916,-1.36442
5.918,-1.36483
5.92,-1.36524
5.922,-1.36565
5.924,-1.36607
5.926,-1.36648
5.928,-1.36689
5.93,-1.3673
5.932,-1.3677
5.934,-1.36811
5.936,-1.36852
5.938,-1.36893
5.94,-1.36934
5.942,-1.36975
5.944,-1.37015
5.946,-1.37056
5.948,-1.37097
5.95,-1.37138
5.952,-1.37178
5.954,-1.37219
5.956,-1.37259
5.958,-1.373
5.96,-1.3734
5.962,-1.37381
5.964,-1.37421
5.966,-1.37462
5.968,-1.37502
5.97,-1.37542
5.972,-1.37583
5.974,-1.37623
5.976,-1.37663
5.978,-1.37703
5.98,-1.37744
5.982,-1.37784
5.984,-1.37824
5.986,-1.37864
5.988,-1.37904
5.99,-1.37944
5.992,-1.37984
5.994,-1.38024
5.996,-1.38064
5.998,-1.38104
6,-1.38144
6.002,-1.38184
6.004,-1.38223
6.006,-1.38263
6.008,-1.38303
6.01,-1.38343
6.012,-1.38382
6.014,-1.38422
6.016,-1.38462
6.018,-1.38501
6.02,-1.38541
6.022,-1.3858
6.024,-1.3862
6.026,-1.38659
6.028,-1.38699
6.03,-1.38738
6.032,-1.38777
6.034,-1.38817
6.036,-1.38856
6.038,-1.38895
6.04,-1.38935
6.042,-1.38974
6.044,-1.39013
6.046,-1.39052
6.048,-1.39091
6.05,-1.3913
6.052,-1.39169
6.054,-1.39208
6.056,-1.39247
6.058,-1.39286
6.06,-1.39325
6.062,-1.39364
6.064,-1.39403
6.066,-1.39442
6.068,-1.39481
6.07,-1.39519
6.072,-1.39558
6.074,-1.39597
6.076,-1.39635
6.078,-1.39674
6.08,-1.39713
6.082,-1.39751
6.084,-1.3979
6.086,-1.39828
6.088,-1.39867
6.09,-1.39905
6.092,-1.39944
6.094,-1.39982
6.096,-1.4002
6.098,-1.40059
6.1,-1.40097
6.102,-1.40135
6.104,-1.40173
6.106,-1.40211
6.108,-1.4025
6.11,-1.40288
6.112,-1.40326
6.114,-1.40364
6.116,-1.40402
6.118,-1.4044
6.12,-1.40478
6.122,-1.40516
6.124,-1.40554
6.126,-1.40591
6.128,-1.40629
6.13,-1.40667
6.132,-1.40705
6.134,-1.40742
6.136,-1.4078
6.138,-1.40818
6.14,-1.40855
6.142,-1.40893
6.144,-1.40931
6.146,-1.40968
6.148,-1.41006
6.15,-1.41043
6.152,-1.4108
6.154,-1.41118
6.156,-1.41155
6.158,-1.41193
6.16,-1.4123
6.162,-1.41267
6.164,-1.41304
6.166,-1.41341
6.168,-1.41379
6.17,-1.41416
6.172,-1.41453
6.174,-1.4149
6.176,-1.41527
6.178,-1.41564
6.18,-1.41601
6.182,-1.41638
6.184,-1.41675
6.186,-1.41712
6.188,-1.41748
6.19,-1.41785
6.192,-1.41822
6.194,-1.41859
6.196,-1.41895
6.198,-1.41932
6.2,-1.41969
6.202,-1.42005
6.204,-1.42042
6.206,-1.42078
6.208,-1.42115
6.21,-1.42151
6.212,-1.42188
6.214,-1.42224
6.216,-1.42261
6.218,-1.42297
6.22,-1.42333
6.222,-1.4237
6.224,-1.42406
6.226,-1.42442
6.228,-1.42478
6.23,-1.42514
6.232,-1.4255
6.234,-1.42586
6.236,-1.42622
6.238,-1.42658
6.24,-1.42694
6.242,-1.4273
6.244,-1.42766
6.246,-1.42802
6.248,-1.42838
6.25,-1.42874
6.252,-1.4291
6.254,-1.42945
6.256,-1.42981
6.258,-1.43017
6.26,-1.43052
6.262,-1.43088
6.264,-1.43123
6.266,-1.43159
6.268,-1.43195
6.27,-1.4323
6.272,-1.43265
6.274,-1.43301
6.276,-1.43336
6.278,-1.43372
6.28,-1.43407
6.282,-1.43442
6.284,-1.43477
6.286,-1.43513
6.288,-1.43548
6.29,-1.43583
6.292,-1.43618
6.294,-1.43653
6.296,-1.43688
6.298,-1.43723
6.3,-1.43758
6.302,-1.43793
6.304,-1.43828
6.306,-1.43863
6.308,-1.43898
6.31,-1.43932
6.312,-1.43967
6.314,-1.44002
6.316,-1.44036
6.318,-1.44071
6.32,-1.44106
6.322,-1.4414
6.324,-1.44175
6.326,-1.44209
6.328,-1.44244
6.33,-1.44278
6.332,-1.44313
6.334,-1.44347
6.336,-1.44382
6.338,-1.44416
6.34,-1.4445
6.342,-1.44484
6.344,-1.44519
6.346,-1.44553
6.348,-1.44587
6.35,-1.44621
6.352,-1.44655
6.354,-1.44689
6.356,-1.44723
6.358,-1.44757
6.36,-1.44791
6.362,-1.44825
6.364,-1.44859
6.366,-1.44893
6.368,-1.44927
6.37,-1.4496
6.372,-1.44994
6.374,-1.45028
6.376,-1.45061
6.378,-1.45095
6.38,-1.45129
6.382,-1.45162
6.384,-1.45196
6.386,-1.45229
6.388,-1.45263
6.39,-1.45296
6.392,-1.4533
6.394,-1.45363
6.396,-1.45396
6.398,-1.4543
6.4,-1.45463
6.402,-1.45496
6.404,-1.45529
6.406,-1.45562
6.408,-1.45596
6.41,-1.45629
6.412,-1.45662
6.414,-1.45695
6.416,-1.45728
6.418,-1.45761
6.42,-1.45794
6.422,-1.45826
6.424,-1.45859
6.426,-1.45892
6.428,-1.45925
6.43,-1.45958
6.432,-1.4599
6.434,-1.46023
6.436,-1.46056
6.438,-1.46088
6.44,-1.46121
6.442,-1.46153
6.444,-1.46186
6.446,-1.46218
6.448,-1.46251
6.45,-1.46283
6.452,-1.46316
6.454,-1.46348
6.456,-1.4638
6.458,-1.46412
6.46,-1.46445
6.462,-1.46477
6.464,-1.46509
6.466,-1.46541
6.468,-1.46573
6.47,-1.46605
6.472,-1.46637
6.474,-1.46669
6.476,-1.46701
6.478,-1.46733
6.48,-1.46765
6.482,-1.46797
6.484,-1.46829
6.486,-1.4686
6.488,-1.46892
6.49,-1.46924
6.492,-1.46956
6.494,-1.46987
6.496,-1.47019
6.498,-1.4705
6.5,-1.47082
6.502,-1.47113
6.504,-1.47145
6.506,-1.47176
6.508,-1.47208
6.51,-1.47239
6.512,-1.4727
6.514,-1.47302
6.516,-1.47333
6.518,-1.47364
6.52,-1.47395
6.522,-1.47426
6.524,-1.47458
6.526,-1.47489
6.528,-1.4752
6.53,-1.47551
6.532,-1.47582
6.534,-1.47613
6.536,-1.47643
6.538,-1.47674
6.54,-1.47705
6.542,-1.47736
6.544,-1.47767
6.546,-1.47797
6.548,-1.47828
6.55,-1.47859
6.552,-1.47889
6.554,-1.4792
6.556,-1.47951
6.558,-1.47981
6.56,-1.48011
6.562,-1.48042
6.564,-1.48072
6.566,-1.48103
6.568,-1.48133
6.57,-1.48163
6.572,-1.48194
6.574,-1.48224
6.576,-1.48254
6.578,-1.48284
6.58,-1.48314
6.582,-1.48344
6.584,-1.48374
6.586,-1.48404
6.588,-1.48434
6.59,-1.48464
6.592,-1.48494
6.594,-1.48524
6.596,-1.48554
6.598,-1.48584
6.6,-1.48614
6.602,-1.48643
6.604,-1.48673
6.606,-1.48703
6.608,-1.48732
6.61,-1.48762
6.612,-1.48791
6.614,-1.48821
6.616,-1.4885
6.618,-1.4888
6.62,-1.48909
6.622,-1.48939
6.624,-1.48968
6.626,-1.48997
6.628,-1.49027
6.63,-1.49056
6.632,-1.49085
6.634,-1.49114
6.636,-1.49143
6.638,-1.49172
6.64,-1.49202
6.642,-1.49231
6.644,-1.4926
6.646,-1.49289
6.648,-1.49317
6.65,-1.49346
6.652,-1.49375
6.654,-1.49404
6.656,-1.49433
6.658,-1.49461
6.66,-1.4949
6.662,-1.49519
6.664,-1.49547
6.666,-1.49576
6.668,-1.49605
6.67,-1.49633
6.672,-1.49662
6.674,-1.4969
6.676,-1.49719
6.678,-1.49747
6.68,-1.49775
6.682,-1.49804
6.684,-1.49832
6.686,-1.4986
6.688,-1.49888
6.69,-1.49916
6.692,-1.49945
6.694,-1.49973
6.696,-1.50001
6.698,-1.50029
6.7,-1.50057
6.702,-1.50085
6.704,-1.50113
6.706,-1.5014
6.708,-1.50168
6.71,-1.50196
6.712,-1.50224
6.714,-1.50252
6.716,-1.50279
6.718,-1.50307
6.72,-1.50335
6.722,-1.50362
6.724,-1.5039
6.726,-1.50417
6.728,-1.50445
6.73,-1.50472
6.732,-1.505
6.734,-1.50527
6.736,-1.50554
6.738,-1.50582
6.74,-1.50609
6.742,-1.50636
6.744,-1.50663
6.746,-1.5069
6.748,-1.50718
6.75,-1.50745
6.752,-1.50772
6.754,-1.50799
6.756,-1.50826
6.758,-1.50853
6.76,-1.50879
6.762,-1.50906
6.764,-1.50933
6.766,-1.5096
6.768,-1.50987
6.77,-1.51013
6.772,-1.5104
6.774,-1.51067
6.776,-1.51093
6.778,-1.5112
6.78,-1.51147
6.782,-1.51173
6.784,-1.51199
6.786,-1.51226
6.788,-1.51252
6.79,-1.51279
6.792,-1.51305
6.794,-1.51331
6.796,-1.51358
6.798,-1.51384
6.8,-1.5141
6.802,-1.51436
6.804,-1.51462
6.806,-1.51488
6.808,-1.51514
6.81,-1.5154
6.812,-1.51566
6.814,-1.51592
6.816,-1.51618
6.818,-1.51644
6.82,-1.5167
6.822,-1.51695
6.824,-1.51721
6.826,-1.51747
6.828,-1.51773
6.83,-1.51798
6.832,-1.51824
6.834,-1.51849
6.836,-1.51875
6.838,-1.519
6.84,-1.51926
6.842,-1.51951
6.844,-1.51977
6.846,-1.52002
6.848,-1.52027
6.85,-1.52052
6.852,-1.52078
6.854,-1.52103
6.856,-1.52128
6.858,-1.52153
6.86,-1.52178
6.862,-1.52203
6.864,-1.52228
6.866,-1.52253
6.868,-1.52278
6.87,-1.52303
6.872,-1.52328
6.874,-1.52353
6.876,-1.52378
6.878,-1.52402
6.88,-1.52427
6.882,-1.52452
6.884,-1.52476
6.886,-1.52501
6.888,-1.52525
6.89,-1.5255
6.892,-1.52575
6.894,-1.52599
6.896,-1.52623
6.898,-1.52648
6.9,-1.52672
6.902,-1.52696
6.904,-1.52721
6.906,-1.52745
6.908,-1.52769
6.91,-1.52793
6.912,-1.52817
6.914,-1.52841
6.916,-1.52866
6.918,-1.5289
6.92,-1.52914
6.922,-1.52937
6.924,-1.52961
6.925,-1.52973
6.926,-1.52985
6.928,-1.53009
6.93,-1.53033
6.932,-1.53057
6.934,-1.5308
6.936,-1.53104
6.938,-1.53128
6.94,-1.53151
6.942,-1.53175
6.944,-1.53198
6.946,-1.53222
6.948,-1.53245
6.95,-1.53269
6.952,-1.53292
6.954,-1.53315
6.956,-1.53339
6.958,-1.53362
6.96,-1.53385
6.962,-1.53408
6.964,-1.53432
6.966,-1.53455
6.968,-1.53478
6.97,-1.53501
6.972,-1.53524
6.974,-1.53547
6.976,-1.5357
6.978,-1.53593
6.98,-1.53616
6.982,-1.53638
6.984,-1.53661
6.986,-1.53684
6.988,-1.53707
6.99,-1.53729
6.992,-1.53752
6.994,-1.53775
6.996,-1.53797
6.998,-1.5382
7,-1.53842
7.002,-1.53865
7.004,-1.53887
7.006,-1.53909
7.008,-1.53932
7.01,-1.53954
7.012,-1.53976
7.014,-1.53999
7.016,-1.54021
7.018,-1.54043
7.02,-1.54065
7.022,-1.54087
7.024,-1.54109
7.026,-1.54131
7.028,-1.54153
7.03,-1.54175
7.032,-1.54197
7.034,-1.54219
7.036,-1.54241
7.038,-1.54263
7.04,-1.54284
7.042,-1.54306
7.044,-1.54328
7.046,-1.54349
7.048,-1.54371
7.05,-1.54392
7.052,-1.54414
7.054,-1.54435
7.056,-1.54457
7.058,-1.54478
7.06,-1.545
7.062,-1.54521
7.064,-1.54542
7.066,-1.54564
7.068,-1.54585
7.07,-1.54606
7.072,-1.54627
7.074,-1.54648
7.076,-1.54669
7.078,-1.5469
7.08,-1.54711
7.082,-1.54732
7.084,-1.54753
7.086,-1.54774
7.088,-1.54795
7.09,-1.54816
7.092,-1.54837
7.094,-1.54857
7.096,-1.54878
7.098,-1.54899
7.1,-1.54919
7.102,-1.5494
7.104,-1.5496
7.106,-1.54981
7.108,-1.55001
7.11,-1.55022
7.112,-1.55042
7.114,-1.55063
7.116,-1.55083
7.118,-1.55103
7.12,-1.55123
7.122,-1.55144
7.124,-1.55164
7.126,-1.55184
7.128,-1.55204
7.13,-1.55224
7.132,-1.55244
7.134,-1.55264
7.136,-1.55284
7.138,-1.55304
7.14,-1.55324
7.142,-1.55344
7.144,-1.55363
7.146,-1.55383
7.148,-1.55403
7.15,-1.55423
7.152,-1.55442
7.154,-1.55462
7.156,-1.55481
7.158,-1.55501
7.16,-1.5552
7.162,-1.5554
7.164,-1.55559
7.166,-1.55579
7.168,-1.55598
7.17,-1.55617
7.172,-1.55637
7.174,-1.55656
7.176,-1.55675
7.178,-1.55694
7.18,-1.55713
7.182,-1.55732
7.184,-1.55751
7.186,-1.5577
7.188,-1.55789
7.19,-1.55808
7.192,-1.55827
7.194,-1.55846
7.196,-1.55865
7.198,-1.55884
7.2,-1.55902
7.202,-1.55921
7.204,-1.5594
7.206,-1.55958
7.208,-1.55977
7.21,-1.55996
7.212,-1.56014
7.214,-1.56033
7.216,-1.56051
7.218,-1.56069
7.22,-1.56088
7.222,-1.56106
7.224,-1.56124
7.226,-1.56143
7.228,-1.56161
7.23,-1.56179
7.232,-1.56197
7.234,-1.56215
7.236,-1.56233
7.238,-1.56251
7.24,-1.56269
7.242,-1.56287
7.244,-1.56305
7.246,-1.56323
7.248,-1.56341
7.25,-1.56359
7.252,-1.56376
7.254,-1.56394
7.256,-1.56412
7.258,-1.56429
7.26,-1.56447
7.262,-1.56464
7.264,-1.56482
7.266,-1.56499
7.268,-1.56517
7.27,-1.56534
7.272,-1.56552
7.274,-1.56569
7.276,-1.56586
7.278,-1.56604
7.28,-1.56621
7.282,-1.56638
7.284,-1.56655
7.286,-1.56672
7.288,-1.56689
7.29,-1.56706
7.292,-1.56723
7.294,-1.5674
7.296,-1.56757
7.298,-1.56774
7.3,-1.56791
7.302,-1.56808
7.304,-1.56824
7.306,-1.56841
7.308,-1.56858
7.31,-1.56874
7.312,-1.56891
7.314,-1.56908
7.316,-1.56924
7.318,-1.56941
7.32,-1.56957
7.322,-1.56973
7.324,-1.5699
7.326,-1.57006
7.328,-1.57022
7.33,-1.57039
7.332,-1.57055
7.334,-1.57071
7.336,-1.57087
7.338,-1.57103
7.34,-1.57119
7.342,-1.57136
7.344,-1.57152
7.346,-1.57167
7.348,-1.57183
7.35,-1.57199
7.352,-1.57215
7.354,-1.57231
7.356,-1.57247
7.358,-1.57262
7.36,-1.57278
7.362,-1.57294
7.364,-1.57309
7.366,-1.57325
7.368,-1.5734
7.37,-1.57356
7.372,-1.57371
7.374,-1.57387
7.376,-1.57402
7.378,-1.57418
7.38,-1.57433
7.382,-1.57448
7.384,-1.57463
7.386,-1.57479
7.388,-1.57494
7.39,-1.57509
7.392,-1.57524
7.394,-1.57539
7.396,-1.57554
7.398,-1.57569
7.4,-1.57584
7.402,-1.57599
7.404,-1.57614
7.406,-1.57628
7.408,-1.57643
7.41,-1.57658
7.412,-1.57672
7.414,-1.57687
7.416,-1.57702
7.418,-1.57716
7.42,-1.57731
7.422,-1.57745
7.424,-1.5776
7.426,-1.57774
7.428,-1.57789
7.43,-1.57803
7.432,-1.57817
7.434,-1.57832
7.436,-1.57846
7.438,-1.5786
7.44,-1.57874
7.442,-1.57888
7.444,-1.57902
7.446,-1.57916
7.448,-1.5793
7.45,-1.57944
7.452,-1.57958
7.454,-1.57972
7.456,-1.57986
7.458,-1.58
7.46,-1.58013
7.462,-1.58027
7.464,-1.58041
7.466,-1.58055
7.468,-1.58068
7.47,-1.58082
7.472,-1.58095
7.474,-1.58109
7.476,-1.58122
7.478,-1.58136
7.48,-1.58149
7.482,-1.58162
7.484,-1.58176
7.486,-1.58189
7.488,-1.58202
7.49,-1.58215
7.492,-1.58228
7.494,-1.58242
7.496,-1.58255
7.498,-1.58268
7.5,-1.58281
7.502,-1.58294
7.504,-1.58307
7.506,-1.58319
7.508,-1.58332
7.51,-1.58345
7.512,-1.58358
7.514,-1.58371
7.516,-1.58383
7.518,-1.58396
7.52,-1.58408
7.522,-1.58421
7.524,-1.58434
7.526,-1.58446
7.528,-1.58459
7.53,-1.58471
7.532,-1.58483
7.534,-1.58496
7.536,-1.58508
7.538,-1.5852
7.54,-1.58532
7.542,-1.58545
7.544,-1.58557
7.546,-1.58569
7.548,-1.58581
7.55,-1.58593
7.552,-1.58605
7.554,-1.58617
7.556,-1.58629
7.558,-1.58641
7.56,-1.58652
7.562,-1.58664
7.564,-1.58676
7.566,-1.58688
7.568,-1.58699
7.57,-1.58711
7.572,-1.58723
7.574,-1.58734
7.576,-1.58746
7.578,-1.58757
7.58,-1.58769
7.582,-1.5878
7.584,-1.58791
7.586,-1.58803
7.588,-1.58814
7.59,-1.58825
7.592,-1.58837
7.594,-1.58848
7.596,-1.58859
7.598,-1.5887
7.6,-1.58881
7.602,-1.58892
7.604,-1.58903
7.606,-1.58914
7.608,-1.58925
7.61,-1.58936
7.612,-1.58946
7.614,-1.58957
7.616,-1.58968
7.618,-1.58979
7.62,-1.58989
7.622,-1.59
7.624,-1.59011
7.626,-1.59021
7.628,-1.59032
7.63,-1.59042
7.632,-1.59053
7.634,-1.59063
7.636,-1.59073
7.638,-1.59084
7.64,-1.59094
7.642,-1.59104
7.644,-1.59114
7.646,-1.59125
7.648,-1.59135
7.65,-1.59145
7.652,-1.59155
7.654,-1.59165
7.656,-1.59175
7.658,-1.59185
7.66,-1.59195
7.662,-1.59204
7.664,-1.59214
7.666,-1.59224
7.668,-1.59234
7.67,-1.59243
7.672,-1.59253
7.674,-1.59263
7.676,-1.59272
7.678,-1.59282
7.68,-1.59291
7.682,-1.59301
7.684,-1.5931
7.686,-1.5932
7.688,-1.59329
7.69,-1.59338
7.692,-1.59347
7.694,-1.59357
7.696,-1.59366
7.698,-1.59375
7.7,-1.59384
7.702,-1.59393
7.704,-1.59402
7.706,-1.59411
7.708,-1.5942
7.71,-1.59429
7.712,-1.59438
7.714,-1.59447
7.716,-1.59456
7.718,-1.59464
7.72,-1.59473
7.722,-1.59482
7.724,-1.5949
7.726,-1.59499
7.728,-1.59508
7.73,-1.59516
7.732,-1.59525
7.734,-1.59533
